A,B,C,D,E,X
3.8196749570729955,0.6191429565782111,1.7453547907742333,1.6601267549624144,2.1282780534974344,1
4.184589530141485,-0.2852326039069284,0.5246946525018285,-0.797739464048496,1.4291307742792905,1
2.764504034216805,3.0191753008883024,-1.7613909382952857,-2.951295516933153,0.36027466119440366,3
1.9483185819498596,0.6167777387117852,-0.7496075795367769,-2.8614892464495494,1.6800626309643096,3
0.5659551786047011,0.8332253238394602,2.0544328069173328,0.8492342890802042,1.128032718724889,1
-0.7808476151440362,1.2826934123061198,0.7655817595153254,-4.196209081425984,0.5438320222120077,0
1.209913930879369,1.890854713745635,0.005616008574608422,-2.3215901627180817,1.0205287682964381,1
2.5024852908232713,4.835024620166225,1.8414763327866783,2.1360548055769977,2.824999559508167,1
-0.4675807654116788,1.6600829232958896,-0.2365770995331402,0.25267601189693023,0.13136910106431654,1
1.0953897014454408,1.8033415444667005,-1.206555309798543,-3.070153118237485,1.8805131488281697,3
4.452954198715735,1.4917253008685027,-3.186183708871651,-0.3566039823534468,2.219887359267899,3
2.153821246979708,-2.378115816894031,-1.944098848904945,-1.9673556175392901,-2.4207221929674754,2
2.788516477186245,0.6700165812844651,2.304735821602693,0.8554183537511235,2.1073760802403556,1
3.543074864176416,1.6814858611633536,0.5736932365127438,0.6166960704428233,1.9850995538052125,1
1.1694835088474778,2.616904943690514,-1.3058251329821577,-2.3370117821011887,0.8607191050207975,3
-1.0741011131455185,2.5868243767917654,1.631323815828357,-1.3021954441843757,1.5508050993595563,0
2.535100528980921,-2.158641618473377,-1.8992888970465338,-1.8354592824636753,-0.8707975623333439,2
1.6447869608456038,3.1363462547795,3.088346163131121,-2.115795086995077,3.4904556886134777,0
2.132637424943373,1.7947307229104703,0.10563478122412184,0.05582458775732779,1.3137611557850815,1
3.7173651045280227,4.125235847054011,-3.0264954071993824,-1.460230326121063,1.8164446078062504,3
-1.2053015735197512,0.7367442653090334,-0.36954031459226977,-1.302434797682021,1.5154643412518807,3
2.011583260323172,1.1797805075317882,0.7841974167734146,-1.8050829250393479,2.743516235392323,0
2.710235744329193,-3.658974205374801,0.8891161592380183,-1.3796304250627747,-2.172479939039932,2
5.099525300859007,4.063094833273032,-4.164187256602079,-1.4099574027453017,2.432075673287528,3
0.7797659209146761,1.554862963321007,1.5778168389186287,1.0959736801800224,1.34504626643246,1
0.9573954509316214,1.6613317930183356,2.0589013755310646,2.851842166695663,1.6528710437486842,1
2.2073543057409846,1.700715236429426,-1.5691637143508863,-2.19585078789307,0.5506652106877146,3
-0.9513009179213445,3.961067308558182,-0.27112925381587605,1.378025296639045,0.44895268990297876,1
0.2605034894397018,4.0964608467397206,-0.4715503474266136,0.8885279199258469,0.699860713172395,1
-0.474198785449939,1.1640035306085652,0.7801141080374151,-2.067560501769121,1.2546603921977104,0
-1.7879748775231286,1.567656321783158,3.8548800540906893,-1.5255266820415114,2.4131784027882004,0
-2.6165357384135475,1.3585150931415912,1.7481408424894027,-1.839065579236325,1.2725865718119718,0
-3.4760708366120685,1.3975907125354228,2.0635320665893047,-3.039696653013319,0.5527449593775292,0
-2.1325259737352593,1.5691551147556848,2.485480346603336,-1.8432583644661562,1.4641488411594108,0
0.5376203618209469,3.886349738808542,-1.677339665551361,1.775593428209178,0.3639292068832194,1
0.528117329796898,2.3659327897077134,1.9786756472998301,1.8876718295462767,1.6546260350505126,1
2.4905034985904972,-2.817102531624344,-0.4193852371865763,-1.0514141220410447,-0.37072008313750837,2
